Date,SO2,NO2,PM10,Station Name,Station ID
01-01-2015,13,22,78,Vasco,18
01-06-2015,3,9,79,Vasco,18
01-08-2015,3,12,57,Vasco,18
13-01-2015,18,45,81,Vasco,18
15-01-2015,4,13,78,Vasco,18
20-01-2015,8,25,58,Vasco,18
22-01-2015,15,20,38,Vasco,18
27-01-2015,6,17,75,Vasco,18
29-01-2015,10,24,44,Vasco,18
02-03-2015,7,15,53,Vasco,18
02-05-2015,3,10,56,Vasco,18
02-10-2015,4,18,70,Vasco,18
02-12-2015,2,19,80,Vasco,18
17-02-2015,4,6,43,Vasco,18
19-02-2015,2,13,52,Vasco,18
24-02-2015,16,15,83,Vasco,18
26-02-2015,4,15,57,Vasco,18
03-03-2015,6,26,37,Vasco,18
03-05-2015,7,34,57,Vasco,18
03-10-2015,5,14,36,Vasco,18
03-12-2015,10,29,72,Vasco,18
17-03-2015,10,9,69,Vasco,18
20-03-2015,6,18,46,Vasco,18
24-03-2015,5,5,87,Vasco,18
26-03-2015,10,10,60,Vasco,18
31-03-2015,6,13,59,Vasco,18
04-02-2015,8,13,38,Vasco,18
04-07-2015,2,8,117,Vasco,18
04-09-2015,3,11,87,Vasco,18
13-04-2015,5,11,77,Vasco,18
16-04-2015,15,10,63,Vasco,18
21-04-2015,9,18,37,Vasco,18
23-04-2015,2,21,36,Vasco,18
28-04-2015,9,32,36,Vasco,18
30-04-2015,5,10,33,Vasco,18
05-05-2015,2,26,41,Vasco,18
05-07-2015,14,15,32,Vasco,18
05-12-2015,4,25,35,Vasco,18
14-05-2015,5,34,32,Vasco,18
19-05-2015,8,21,30,Vasco,18
21-05-2015,10,24,17,Vasco,18
26-05-2015,7,16,29,Vasco,18
28-05-2015,11,17,32,Vasco,18
06-02-2015,8,14,24,Vasco,18
06-04-2015,3,9,34,Vasco,18
06-09-2015,3,5,10,Vasco,18
06-11-2015,3,5,21,Vasco,18
16-06-2015,3,6,22,Vasco,18
23-06-2015,3,8,28,Vasco,18
25-06-2015,8,5,18,Vasco,18
30-06-2015,3,8,24,Vasco,18
07-02-2015,4,7,16,Vasco,18
07-07-2015,2,9,35,Vasco,18
07-09-2015,6,5,14,Vasco,18
14-07-2015,18,5,28,Vasco,18
16-07-2015,2,8,43,Vasco,18
21-07-2015,3,16,29,Vasco,18
23-07-2015,6,6,22,Vasco,18
30-07-2015,2,14,26,Vasco,18
08-04-2015,6,12,21,Vasco,18
08-06-2015,3,8,22,Vasco,18
13-08-2015,2,11,18,Vasco,18
18-08-2015,2,10,53,Vasco,18
20-08-2015,4,6,43,Vasco,18
25-08-2015,2,9,27,Vasco,18
27-08-2015,2,9,31,Vasco,18
09-01-2015,3,9,51,Vasco,18
09-03-2015,2,13,36,Vasco,18
09-08-2015,4,10,15,Vasco,18
09-10-2015,14,6,22,Vasco,18
15-09-2015,9,8,30,Vasco,18
22-09-2015,5,65,40,Vasco,18
24-09-2015,8,0,42,Vasco,18
29-09-2015,2,0,64,Vasco,18
10-01-2015,4,5,18,Vasco,18
10-06-2015,8,14,30,Vasco,18
10-08-2015,11,21,27,Vasco,18
13-10-2015,2,16,40,Vasco,18
15-10-2015,9,5,45,Vasco,18
20-10-2015,18,5,44,Vasco,18
23-10-2015,15,8,52,Vasco,18
27-10-2015,2,12,64,Vasco,18
29-10-2015,6,20,73,Vasco,18
11-03-2015,4,11,59,Vasco,18
11-05-2015,5,12,58,Vasco,18
11-11-2015,4,30,242,Vasco,18
17-11-2015,5,10,124,Vasco,18
19-11-2015,4,8,47,Vasco,18
24-11-2015,7,22,38,Vasco,18
26-11-2015,9,8,42,Vasco,18
12-01-2015,4,13,30,Vasco,18
12-08-2015,12,13,59,Vasco,18
12-10-2015,12,12,43,Vasco,18
15-12-2015,2,12,163,Vasco,18
17-12-2015,8,17,58,Vasco,18
22-12-2015,6,14,137,Vasco,18
24-12-2015,8,20,102,Vasco,18
29-12-2015,6,25,120,Vasco,18
31-12-2015,4,20,87,Vasco,18
01-02-2015,3,10,67,Panji,16
01-07-2015,9,14,69,Panji,16
01-09-2015,2,11,42,Panji,16
14-01-2015,2,10,62,Panji,16
16-01-2015,2,33,65,Panji,16
21-01-2015,10,18,45,Panji,16
23-01-2015,2,22,57,Panji,16
28-01-2015,5,21,45,Panji,16
30-01-2015,12,12,54,Panji,16
02-04-2015,6,6,76,Panji,16
02-06-2015,6,14,92,Panji,16
02-11-2015,4,24,66,Panji,16
18-02-2015,3,13,48,Panji,16
20-02-2015,2,11,45,Panji,16
25-02-2015,2,21,80,Panji,16
27-02-2015,5,13,50,Panji,16
03-02-2015,3,22,29,Panji,16
03-04-2015,3,22,40,Panji,16
03-11-2015,3,26,64,Panji,16
13-03-2015,5,12,49,Panji,16
16-03-2015,6,12,54,Panji,16
19-03-2015,5,18,42,Panji,16
25-03-2015,8,30,59,Panji,16
27-03-2015,4,9,48,Panji,16
04-01-2015,2,14,46,Panji,16
04-08-2015,2,10,68,Panji,16
04-10-2015,5,10,53,Panji,16
15-04-2015,2,24,56,Panji,16
17-04-2015,4,16,50,Panji,16
22-04-2015,4,11,25,Panji,16
24-04-2015,7,12,37,Panji,16
27-04-2015,28,6,36,Panji,16
29-04-2015,12,5,43,Panji,16
05-06-2015,9,26,48,Panji,16
05-08-2015,15,13,29,Panji,16
13-05-2015,6,12,25,Panji,16
15-05-2015,2,13,35,Panji,16
20-05-2015,2,9,22,Panji,16
22-05-2015,3,5,28,Panji,16
27-05-2015,5,9,16,Panji,16
29-05-2015,5,6,17,Panji,16
06-03-2015,5,5,28,Panji,16
06-05-2015,2,9,29,Panji,16
06-10-2015,5,6,18,Panji,16
06-12-2015,7,7,21,Panji,16
17-06-2015,12,9,17,Panji,16
19-06-2015,0,0,0,Panji,16
24-06-2015,2,13,15,Panji,16
26-06-2015,5,5,22,Panji,16
07-01-2015,0,0,0,Panji,16
07-03-2015,3,10,38,Panji,16
07-08-2015,5,6,20,Panji,16
07-10-2015,4,8,26,Panji,16
15-07-2015,5,8,39,Panji,16
17-07-2015,3,7,25,Panji,16
22-07-2015,2,6,21,Panji,16
29-07-2015,2,7,28,Panji,16
31-07-2015,4,6,33,Panji,16
08-05-2015,3,10,12,Panji,16
08-07-2015,8,6,11,Panji,16
08-12-2015,2,13,18,Panji,16
14-08-2015,2,6,20,Panji,16
19-08-2015,5,6,71,Panji,16
21-08-2015,2,10,24,Panji,16
26-08-2015,2,13,36,Panji,16
28-08-2015,2,12,63,Panji,16
09-02-2015,3,11,126,Panji,16
09-04-2015,4,8,93,Panji,16
09-09-2015,6,5,57,Panji,16
09-11-2015,3,8,88,Panji,16
14-09-2015,4,8,43,Panji,16
21-09-2015,7,0,42,Panji,16
23-09-2015,2,0,41,Panji,16
30-09-2015,3,18,83,Panji,16
10-07-2015,9,13,31,Panji,16
10-09-2015,4,9,40,Panji,16
14-10-2015,9,12,82,Panji,16
16-10-2015,4,14,57,Panji,16
19-10-2015,7,7,100,Panji,16
21-10-2015,9,14,112,Panji,16
28-10-2015,2,32,94,Panji,16
30-10-2015,6,11,91,Panji,16
11-04-2015,2,18,39,Panji,16
11-06-2015,3,13,26,Panji,16
11-09-2015,3,23,99,Panji,16
11-11-2015,3,25,56,Panji,16
13-11-2015,9,23,62,Panji,16
18-11-2015,2,16,87,Panji,16
20-11-2015,2,20,230,Panji,16
25-11-2015,10,5,111,Panji,16
27-11-2015,11,7,107,Panji,16
12-02-2015,8,11,61,Panji,16
12-04-2015,5,22,58,Panji,16
12-09-2015,9,28,56,Panji,16
12-11-2015,7,15,42,Panji,16
16-12-2015,2,48,83,Panji,16
18-12-2015,4,48,84,Panji,16
23-12-2015,3,51,46,Panji,16
28-12-2015,9,34,90,Panji,16
30-12-2015,4,36,87,Panji,16
02-05-2015,3,15,67,Vasco,18
02-10-2015,2,17,128,Vasco,18
02-12-2015,3,25,120,Vasco,18
17-02-2015,5,10,26,Vasco,18
19-02-2015,3,9,26,Vasco,18
24-02-2015,18,13,85,Vasco,18
26-02-2015,7,12,79,Vasco,18
03-03-2015,14,17,96,Vasco,18
03-05-2015,10,15,76,Vasco,18
03-10-2015,4,17,68,Vasco,18
03-12-2015,7,27,59,Vasco,18
17-03-2015,7,12,152,Vasco,18
20-03-2015,11,15,55,Vasco,18
