Month	SO2	NO2	PM10	PM2.5	Station ID
Apr-14	5.18	11.2	63.2	21.9	1
May-14	4.89	10.04	38.64	14.37	1
Jun-14	3.95	8.59	37.36	12.58	1
Jul-14	3.28	7.31	46.19	16.35	1
Aug-14	4.07	9	32.22	11.94	1
Sep-14	4.06	9.1	49.18	16.35	1
Oct-14	5.37	8.52	40.72	14.97	1
Nov-14	4.11	9.13	49.53	18	1
Dec-14	4.1	9.1	62.5	23.1	1
Jan-15	4.2	9.1	62	23.1	1
Feb-15	4.1	9.1	67.7	23.8	1
Mar-15	4.18	9.09	63.01	21.96	1
Apr-14	5.68	11.63	68.94	24.19	2
May-14	5.26	10.46	53.82	18.09	2
Jun-14	4.23	9.23	76.03	28.49	2
Jul-14	3.81	8.27	53.65	18.9	2
Aug-14	4.16	9.11	44.61	15.46	2
Sep-14	4.25	9.09	50.88	16.33	2
Oct-14	6.04	10.3	57.62	17.82	2
Nov-14	4.36	9.35	74.76	26.31	2
Dec-14	4.2	9.16	81.57	29.01	2
Jan-15	4.3	9.2	86.9	30.7	2
Feb-15	4.24	9.36	82.03	29.53	2
Mar-15	4.25	9.21	73.19	25.23	2
Apr-14	5.74	11.74	68.86	22.99	3
May-14	5.24	10.64	62.24	22.23	3
Jun-14	4.43	9.33	59.54	21.84	3
Jul-14	3.52	7.75	43.81	14.36	3
Aug-14	4.04	8.98	39.42	13.63	3
Sep-14	4.04	8.19	39.6	13.76	3
Oct-14	5.62	9.01	56.51	20.87	3
Nov-14	4.3	9.28	63.54	23.05	3
Dec-14	4.14	9.17	67.8	24.53	3
Jan-15	4.3	9.3	80	29.2	3
Feb-15	4.2	9.3	79.4	28.1	3
Mar-15	4.33	9.16	61.2	21.76	3
Apr-14	5.67	11.5	57.99	21.51	4
May-14	5.01	10.09	52.37	18.06	4
Jun-14	4.18	9.2	45.83	16.33	4
Jul-14	3.29	7.28	45.93	15.65	4
Aug-14	4.12	9.04	49.86	17.94	4
Sep-14	4.09	9.13	45.34	15.8	4
Oct-14	5.16	9.03	56.12	19.63	4
Nov-14	4.11	9.03	55.38	19.1	4
Dec-14	4.12	9.12	64.56	25.83	4
Jan-15	4.2	9.2	68.7	25.4	4
Feb-15	4.1	9.1	67.5	23.6	4
Mar-16	4.16	9.18	62.86	20.17	4
Apr-14	5.51	11.29	73.19	23.16	5
May-14	4.64	8.77	47.59	17.59	5
Jun-14	3.63	7.99	44.31	16.3	5
Jul-14	3.3	7.3	43.46	15.87	5
Aug-14	4.09	9.07	39.36	14.59	5
Sep-14	4.05	8.96	38.94	13.41	5
Oct-14	5.6	9.3	39.78	14.94	5
Nov-14	4.6	9.3	59.43	21.81	5
Dec-14	4.7	9.12	63.4	22.6	5
Jan-15	4.1	9.1	6.3	21.7	5
Feb-15	4.1	9	63.6	23.1	5
Mar-15	4.8	9.3	61.91	21.01	5
Apr-14	5.68	11.53	66.5	23.81	6
May-14	4.86	9.82	39.37	14.21	6
Jun-14	3.88	8.56	47.44	24.43	6
Jul-14	3.51	7.78	56.86	20.56	6
Aug-14	4.14	9.07	67.49	22.2	6
Sep-14	4.05	8.98	50.04	17.89	6
Oct-14	5.41	8.98	47.72	17.72	6
Nov-14	4.14	9.18	51.78	18.45	6
Dec-14	4.09	9.11	70.09	26.11	6
Jan-15	4.2	9.1	68.2	23.8	6
Feb-15	4.18	9.15	66.7	23.95	6
Mar-15	4.14	9.09	57.5	20.96	6
Apr-14	5.61	11.56	71.57	24.33	7
May-14	5.1	10.38	62.77	22.47	7
Jun-14	3.65	8.58	52.71	18	7
Jul-14	3.54	7.77	50.31	17.42	7
Aug-14	4.08	9.06	38.84	14.63	7
Sep-14	4.2	9.11	61.64	19.3	7
