Month,SO2,NO2,PM10,PM2.5,Station ID
Apr-15,4.1,9.1,58.6,20,1
May-15,4.2,9.2,48.8,17.4,1
Jun-15,3.8,8.39,44.5,15.3,1
Jul-15,3.4,7.1,40.5,15.4,1
Aug-15,3.3,7.5,38,12.6,1
Sep-15,3.8,8.5,39.2,12.9,1
Oct-15,4,8.9,45.6,15.4,1
Nov-15,4.1,9,44.5,15.8,1
Dec-15,4.1,9.2,59.9,19,1
Jan-16,4,9.1,60.8,22.4,1
Feb-16,4.1,9.1,61.6,19.9,1
Mar-16,4.2,8.9,56.2,19.2,1
Apr-15,4.3,9.2,71.9,26.6,2
May-15,4.2,9.2,61.4,21,2
Jun-15,3.5,7.8,50.5,17.2,2
Jul-15,3.3,7.1,44.1,15.2,2
Aug-15,3.5,7.2,41.4,14.6,2
Sep-15,3.9,8.5,47.4,16.8,2
Oct-15,4.1,9.1,51,17.9,2
Nov-15,4.1,9.2,62.9,22.2,2
Dec-15,4.1,9.3,65.4,20.3,2
Jan-16,4.2,9.3,72.3,24.8,2
Feb-16,4.2,9.3,62.3,20.3,2
Mar-16,4.4,9.2,69.4,23.4,2
Apr-15,4.3,9.2,61.2,19.4,3
May-15,4.3,9.2,54.6,17.1,3
Jun-15,3.7,8.23,46.8,15.8,3
Jul-15,3.7,7.9,48.1,17,3
Aug-15,3.5,7.5,43.8,15.1,3
Sep-15,3.4,7.8,37.9,12.6,3
Oct-15,4.1,8.9,38.7,13.6,3
Nov-15,4.2,8.9,61.4,21,3
Dec-15,4.1,9.3,69,22.3,3
Jan-16,4.2,9.4,78.8,27.9,3
Feb-16,4.2,9.3,79.9,28.5,3
Mar-16,4.5,9.2,77.6,27.7,3
Apr-15,4.1,9.1,57.6,20.6,4
May-15,4.1,9.1,50.7,15.2,4
Jun-15,3.6,8,40.7,13.9,4
Jul-15,3.4,7.3,37.4,13.6,4
Aug-15,3.3,7,32.1,11.8,4
Sep-15,3.7,8.4,36.4,13.2,4
Oct-15,4,8.9,37.3,12.3,4
Nov-15,4,9.1,46.2,17.4,4
Dec-15,4,9.1,52.8,17.5,4
Jan-16,4,9,58.3,20.4,4
Feb-16,4,9,57,19.8,4
Mar-16,4.2,9.1,56.6,18.6,4
Apr-15,4.1,9.1,53.6,18.6,5
May-15,4,8.9,41.2,14.4,5
Jun-15,3.8,8.33,42.1,14.4,5
Jul-15,3.3,7,34.5,12.2,5
Aug-15,3.5,7.7,33.8,12,5
Sep-15,3.7,8.4,31.5,11.5,5
Oct-15,3.9,8.8,32.6,11.6,5
Nov-15,3.9,8.8,37.6,13.1,5
Dec-15,4,9,50.9,16.7,5
Jan-16,4,9,54.8,19.2,5
Feb-16,4,9,51.6,18.6,5
Mar-16,4.3,9.1,64.9,22.7,5
Apr-15,4.2,9.1,62.3,22,6
May-15,4.2,9.1,49.5,15.9,6
Jun-15,3.7,8.23,42.5,14.8,6
Jul-15,3.4,7.2,38.9,14.1,6
Aug-15,3.2,6.9,37.1,12.7,6
Sep-15,3.9,8.9,42.1,13.9,6
Oct-15,4,9,41.1,14.4,6
Nov-15,4,9.1,57.1,19.1,6
Dec-15,4,9.3,63.1,19.5,6
Jan-16,4,9.1,59.3,20.9,6
Feb-16,4,9.1,66.2,22,6
Mar-16,4.3,9,69.2,25.1,6
Apr-15,4.2,9.1,68.2,22,7
May-15,4.2,9.1,61,20.7,7
