Sampling Date,SO2,NOX,PM10,PM2.5,O3,Pb ,CO,Station ID
06.04.2016,4.4,9.3,85.2,27.1,,,,1
09.04.2016,4.5,9.2,88.6,33.5,,,,1
13.04.2016,4.4,9.2,84.1,25.9,,,,1
16.04.2016,4.2,8.8,77.2,23.3,,,,1
20.04.2016,4.2,8.9,71.2,21.9,,,,1
23.04.2016,3.8,8.8,54.3,18.1,,,,1
27.04.2016,4.1,8.8,64.2,20.3,,,,1
30.04.2016,4.2,8.7,68.5,22.9,,,,1
04.05.2016,4.2,9.3,68.1,20.8,,,,1
07.05.2016,4.3,9.1,58.1,18.9,,,,1
11.05.2016,4.4,9.2,72,28.6,,,,1
14.05.2016,4.2,8.8,54.5,17.3,,,,1
18.05.2016,3.8,8.8,47.3,14.7,,,,1
21.05.2016,4,8.7,51,16.4,,,,1
25.05.2016,4.2,8.8,57.4,17.9,,,,1
28.05.2016,3.8,8.8,45.1,14,,,,1
01.06.2016,4.1,8.7,52.9,16.1,,,,1
04.06.2016,3,6.8,45.5,14.3,,,,1
08.06.2016,4,8.9,44.9,13.6,,,,1
11.06.2016,4.2,8.1,30,10.6,,,,1
15.06.2016,3.8,8.5,53.3,16.9,,,,1
18.06.2016,3.6,8.7,57.8,17.5,,,,1
22.06.2016,2.6,4.5,53.5,16.8,,,,1
25.06.2016,3.7,7.8,52.1,15.7,,,,1
29.06.2016,2.6,4.5,55,17.9,,,,1
06.07.2016,4.2,9.1,41.5,13.9,<0.5,<0.001,<0.01,1
09.07.2016,4.2,8.7,55.9,16.9,<0.5,<0.001,<0.01,1
13.07.2016,5.6,12.4,59.5,18.3,<0.5,<0.001,<0.01,1
16.07.2016,4.2,9.2,34.8,12.2,<0.5,<0.001,<0.01,1
20.07.2016,4.2,8.6,38.1,12.4,<0.5,<0.001,<0.01,1
23.07.2016,3.5,7.7,27.2,9,<0.5,<0.001,<0.01,1
27.07.2016,2.4,4.5,21.1,7.6,<0.5,<0.001,<0.01,1
30.07.2016,2.4,5.3,15.4,6,<0.5,<0.001,<0.01,1
03.08.2016,3.2,5.6,34.3,11.8,<0.5,<0.001,<0.01,1
06.08.2016,3.5,8,39.5,12.9,<0.5,<0.001,<0.01,1
10.08.2016,2,4.5,29,10.5,<0.5,<0.001,<0.01,1
13.08.2016,4,8.8,43.1,14.4,<0.5,<0.001,<0.01,1
17.08.2016,3.6,8.3,46.4,15.1,<0.5,<0.001,<0.01,1
20.08.2016,4,8.6,43.8,14.8,<0.5,<0.001,<0.01,1
24.08.2016,4.4,9,37.3,13.3,<0.5,<0.001,<0.01,1
27.08.2016,3.9,8.6,39.6,13.4,<0.5,<0.001,<0.01,1
31.08.2016,4.2,8.6,47.1,15.4,<0.5,<0.001,<0.01,1
03.09.2016,4.1,9,46.8,15,<0.5,<0.001,<0.01,1
07.09.2016,3.9,8.3,43.3,14.1,<0.5,<0.001,<0.01,1
10.09.2016,3.9,9.1,43.5,15.7,<0.5,<0.001,<0.01,1
14.09.2016,3.4,8.8,35.6,10.5,<0.5,<0.001,<0.01,1
17.09.2016,4.3,9.1,54,17,<0.5,<0.001,<0.01,1
21.09.2016,2.5,5.6,23.4,7.7,<0.5,<0.001,<0.01,1
24.09.2016,2,4.5,29.5,10.8,<0.5,<0.001,<0.01,1
28.09.2016,3.9,8.4,44.9,15.9,<0.5,<0.001,<0.01,1
01.10.2016,5.4,12.1,46.4,16.7,<0.5,<0.5,<0.01,1
05.10.2016,5.3,12.4,31.3,11.6,<0.5,<0.5,<0.01,1
08.10.2016,4.9,11.9,30.6,11,<0.5,<0.5,<0.01,1
13.10.2016,7.3,14.9,77.5,26.2,<0.5,<0.5,<0.01,1
15.10.2016,7.4,15.4,76.5,24.3,<0.5,<0.5,<0.01,1
19.10.2016,7.2,14.5,56.5,17.9,<0.5,<0.5,<0.01,1
22.10.2016,7.5,14.9,70.4,21.5,<0.5,<0.5,<0.01,1
26.10.2016,7.5,15.5,66.6,22.2,<0.5,<0.5,<0.01,1
29.10.2016,8,16.3,85.6,26.8,<0.5,<0.5,<0.01,1
03.11.2016,5.8,11.1,52.9,19.9,<0.5,<0.5,<0.01,1
05.11.2016,5.8,11.6,61.5,20.4,<0.5,<0.5,<0.01,1
09.11.2016,6,12.8,74.4,22.5,<0.5,<0.5,<0.01,1
12.11.2016,6.3,13.3,83,26.7,<0.5,<0.5,<0.01,1
16.11.2016,6.1,12.5,71.2,27.5,<0.5,<0.5,<0.01,1
19.11.2016,8.9,18.1,97.8,27.6,<0.5,<0.5,<0.01,1
23.11.2016,5.6,11.2,67.5,22,<0.5,<0.5,<0.01,1
26.11.2016,8.2,16.9,96.9,33.3,<0.5,<0.5,<0.01,1
30.11.2016,9.1,18.6,90,28.9,<0.5,<0.5,<0.01,1
03.12.2016,7.2,15.5,59,18,<0.5,<0.5,<0.01,1
07.12.2016,9.3,17.2,108.8,32.8,<0.5,<0.5,<0.01,1
09.12.2016,8.5,15.3,92,29.4,<0.5,<0.5,<0.01,1
14.12.2017,9,20.8,80.8,25.9,<0.5,<0.5,<0.01,1
16.12.2016,6.9,15.9,55.2,17.2,<0.5,<0.5,<0.01,1
21.12.2016,8.9,16.7,98.4,33.1,<0.5,<0.5,<0.01,1
23.12.2016,8.4,16.1,92.6,28.8,<0.5,<0.5,<0.01,1
28.12.2016,8.9,16.3,68.6,17.2,<0.5,<0.5,<0.01,1
30.12.2016,8.1,16.6,89.6,30.1,<0.5,<0.5,<0.01,1
04.01.2017,10.9,17.5,86.9,27.8,6,<0.5,<0.01,1
06.01.2017,11.1,19.7,70.8,24.7,<0.5,<0.5,<0.01,1
11.01.2017,11.5,18.5,98,30.7,<0.5,<0.5,<0.01,1
13.01.2017,11.6,17.7,74.8,23.8,6,<0.5,<0.01,1
18.01.2017,11,19.5,70.8,23,<0.5,<0.5,<0.01,1
20.01.2017,10.6,16.3,97.1,31,7.25,<0.5,<0.01,1
25.01.2017,10.3,17.4,69.9,151.4,<0.5,<0.5,<0.01,1
28.01.2017,12.5,19.1,79.2,25.9,<0.5,<0.5,<0.01,1
31.01.2017,10.7,19.4,84.6,27,<0.5,<0.5,<0.01,1
02.02.2017,9.1,17.5,65.4,19.8,3.6,<0.5,<0.01,1
