Date,PM10,PM2.5,SO2,NO2,CO,O3,Pb,AQI,Air QLTY,Station ID,Station Name
01-01-2015,78,,13,22,,,,,,18,Vasco
06-01-2015,79,,3,9,,,,,,18,Vasco
08-01-2015,57,,3,12,,,,,,18,Vasco
13-01-2015,81,,18,45,,,,,,18,Vasco
15-01-2015,78,,4,13,,,,,,18,Vasco
20-01-2015,58,,8,25,,,,,,18,Vasco
22-01-2015,38,,15,20,,,,,,18,Vasco
27-01-2015,75,,6,17,,,,,,18,Vasco
29-01-2015,44,,10,24,,,,,,18,Vasco
03-02-2015,53,,7,15,,,,,,18,Vasco
05-02-2015,56,,3,10,,,,,,18,Vasco
10-02-2015,70,,4,18,,,,,,18,Vasco
12-02-2015,80,,2,19,,,,,,18,Vasco
17-02-2015,43,,4,6,,,,,,18,Vasco
19-02-2015,52,,2,13,,,,,,18,Vasco
24-02-2015,83,,16,15,,,,,,18,Vasco
26-02-2015,57,,4,15,,,,,,18,Vasco
03-03-2015,37,,6,26,,,,,,18,Vasco
05-03-2015,57,,7,34,,,,,,18,Vasco
10-03-2015,36,,5,14,,,,,,18,Vasco
12-03-2015,72,,10,29,,,,,,18,Vasco
17-03-2015,69,,10,9,,,,,,18,Vasco
20-03-2015,46,,6,18,,,,,,18,Vasco
24-03-2015,87,,5,5,,,,,,18,Vasco
26-03-2015,60,,10,10,,,,,,18,Vasco
31-03-2015,59,,6,13,,,,,,18,Vasco
02-04-2015,38,,8,13,,,,,,18,Vasco
07-04-2015,117,,2,8,,,,,,18,Vasco
09-04-2015,87,,3,11,,,,,,18,Vasco
13-04-2015,77,,5,11,,,,,,18,Vasco
16-04-2015,63,,15,10,,,,,,18,Vasco
21-04-2015,37,,9,18,,,,,,18,Vasco
23-04-2015,36,,2,21,,,,,,18,Vasco
28-04-2015,36,,9,32,,,,,,18,Vasco
30-04-2015,33,,5,10,,,,,,18,Vasco
05-05-2015,41,,2,26,,,,,,18,Vasco
07-05-2015,32,,14,15,,,,,,18,Vasco
12-05-2015,35,,4,25,,,,,,18,Vasco
14-05-2015,32,,5,34,,,,,,18,Vasco
19-05-2015,30,,8,21,,,,,,18,Vasco
21-05-2015,17,,10,24,,,,,,18,Vasco
26-05-2015,29,,7,16,,,,,,18,Vasco
28-05-2015,32,,11,17,,,,,,18,Vasco
02-06-2015,24,,8,14,,,,,,18,Vasco
04-06-2015,34,,3,9,,,,,,18,Vasco
09-06-2015,10,,3,5,,,,,,18,Vasco
11-06-2015,21,,3,5,,,,,,18,Vasco
16-06-2015,22,,3,6,,,,,,18,Vasco
23-06-2015,28,,3,8,,,,,,18,Vasco
25-06-2015,18,,8,5,,,,,,18,Vasco
30-06-2015,24,,3,8,,,,,,18,Vasco
02-07-2015,16,,4,7,,,,,,18,Vasco
07-07-2015,35,,2,9,,,,,,18,Vasco
09-07-2015,14,,6,5,,,,,,18,Vasco
14-07-2015,28,,18,5,,,,,,18,Vasco
16-07-2015,43,,2,8,,,,,,18,Vasco
21-07-2015,29,,3,16,,,,,,18,Vasco
23-07-2015,22,,6,6,,,,,,18,Vasco
30-07-2015,26,,2,14,,,,,,18,Vasco
04-08-2015,21,,6,12,,,,,,18,Vasco
06-08-2015,22,,3,8,,,,,,18,Vasco
13-08-2015,18,,2,11,,,,,,18,Vasco
18-08-2015,53,,2,10,,,,,,18,Vasco
20-08-2015,43,,4,6,,,,,,18,Vasco
25-08-2015,27,,2,9,,,,,,18,Vasco
27-08-2015,31,,2,9,,,,,,18,Vasco
01-09-2015,51,,3,9,,,,,,18,Vasco
03-09-2015,36,,2,13,,,,,,18,Vasco
08-09-2015,15,,4,10,,,,,,18,Vasco
10-09-2015,22,,14,6,,,,,,18,Vasco
15-09-2015,30,,9,8,,,,,,18,Vasco
22-09-2015,40,,5,65,,,,,,18,Vasco
24-09-2015,42,,8,0,,,,,,18,Vasco
29-09-2015,64,,2,0,,,,,,18,Vasco
01-10-2015,18,,4,5,,,,,,18,Vasco
06-10-2015,30,,8,14,,,,,,18,Vasco
08-10-2015,27,,11,21,,,,,,18,Vasco
13-10-2015,40,,2,16,,,,,,18,Vasco
15-10-2015,45,,9,5,,,,,,18,Vasco
20-10-2015,44,,18,5,,,,,,18,Vasco
23-10-2015,52,,15,8,,,,,,18,Vasco
27-10-2015,64,,2,12,,,,,,18,Vasco
29-10-2015,73,,6,20,,,,,,18,Vasco
03-11-2015,59,,4,11,,,,,,18,Vasco
05-11-2015,58,,5,12,,,,,,18,Vasco
11-11-2015,242,,4,30,,,,,,18,Vasco
17-11-2015,124,,5,10,,,,,,18,Vasco
19-11-2015,47,,4,8,,,,,,18,Vasco
24-11-2015,38,,7,22,,,,,,18,Vasco
26-11-2015,42,,9,8,,,,,,18,Vasco
01-12-2015,30,,4,13,,,,,,18,Vasco
08-12-2015,59,,12,13,,,,,,18,Vasco
10-12-2015,43,,12,12,,,,,,18,Vasco
15-12-2015,163,,2,12,,,,,,18,Vasco
17-12-2015,58,,8,17,,,,,,18,Vasco
22-12-2015,137,,6,14,,,,,,18,Vasco
24-12-2015,102,,8,20,,,,,,18,Vasco
29-12-2015,120,,6,25,,,,,,18,Vasco
31-12-2015,87,,4,20,,,,,,18,Vasco
02-01-2015,67,,3,10,,,,,,16,Panji
07-01-2015,69,,9,14,,,,,,16,Panji
09-01-2015,42,,2,11,,,,,,16,Panji
14-01-2015,62,,2,10,,,,,,16,Panji
16-01-2015,65,,2,33,,,,,,16,Panji
21-01-2015,45,,10,18,,,,,,16,Panji
23-01-2015,57,,2,22,,,,,,16,Panji
28-01-2015,45,,5,21,,,,,,16,Panji
30-01-2015,54,,12,12,,,,,,16,Panji
04-02-2015,76,,6,6,,,,,,16,Panji
06-02-2015,92,,6,14,,,,,,16,Panji
11-02-2015,66,,4,24,,,,,,16,Panji
18-02-2015,48,,3,13,,,,,,16,Panji
20-02-2015,45,,2,11,,,,,,16,Panji
25-02-2015,80,,2,21,,,,,,16,Panji
27-02-2015,50,,5,13,,,,,,16,Panji
02-03-2015,29,,3,22,,,,,,16,Panji
04-03-2015,40,,3,22,,,,,,16,Panji
11-03-2015,64,,3,26,,,,,,16,Panji
13-03-2015,49,,5,12,,,,,,16,Panji
16-03-2015,54,,6,12,,,,,,16,Panji
19-03-2015,42,,5,18,,,,,,16,Panji
25-03-2015,59,,8,30,,,,,,16,Panji
27-03-2015,48,,4,9,,,,,,16,Panji
01-04-2015,46,,2,14,,,,,,16,Panji
08-04-2015,68,,2,10,,,,,,16,Panji
10-04-2015,53,,5,10,,,,,,16,Panji
15-04-2015,56,,2,24,,,,,,16,Panji
17-04-2015,50,,4,16,,,,,,16,Panji
22-04-2015,25,,4,11,,,,,,16,Panji
24-04-2015,37,,7,12,,,,,,16,Panji
27-04-2015,36,,28,6,,,,,,16,Panji
29-04-2015,43,,12,5,,,,,,16,Panji
06-05-2015,48,,9,26,,,,,,16,Panji
08-05-2015,29,,15,13,,,,,,16,Panji
13-05-2015,25,,6,12,,,,,,16,Panji
15-05-2015,35,,2,13,,,,,,16,Panji
20-05-2015,22,,2,9,,,,,,16,Panji
22-05-2015,28,,3,5,,,,,,16,Panji
27-05-2015,16,,5,9,,,,,,16,Panji
29-05-2015,17,,5,6,,,,,,16,Panji
03-06-2015,28,,5,5,,,,,,16,Panji
05-06-2015,29,,2,9,,,,,,16,Panji
10-06-2015,18,,5,6,,,,,,16,Panji
12-06-2015,21,,7,7,,,,,,16,Panji
17-06-2015,17,,12,9,,,,,,16,Panji
19-06-2015,0,,0,0,,,,,,16,Panji
24-06-2015,15,,2,13,,,,,,16,Panji
26-06-2015,22,,5,5,,,,,,16,Panji
01-07-2015,0,,0,0,,,,,,16,Panji
03-07-2015,38,,3,10,,,,,,16,Panji
08-07-2015,20,,5,6,,,,,,16,Panji
10-07-2015,26,,4,8,,,,,,16,Panji
15-07-2015,39,,5,8,,,,,,16,Panji
17-07-2015,25,,3,7,,,,,,16,Panji
22-07-2015,21,,2,6,,,,,,16,Panji
29-07-2015,28,,2,7,,,,,,16,Panji
31-07-2015,33,,4,6,,,,,,16,Panji
05-08-2015,12,,3,10,,,,,,16,Panji
07-08-2015,11,,8,6,,,,,,16,Panji
12-08-2015,18,,2,13,,,,,,16,Panji
14-08-2015,20,,2,6,,,,,,16,Panji
19-08-2015,71,,5,6,,,,,,16,Panji
21-08-2015,24,,2,10,,,,,,16,Panji
26-08-2015,36,,2,13,,,,,,16,Panji
28-08-2015,63,,2,12,,,,,,16,Panji
02-09-2015,126,,3,11,,,,,,16,Panji
04-09-2015,93,,4,8,,,,,,16,Panji
09-09-2015,57,,6,5,,,,,,16,Panji
11-09-2015,88,,3,8,,,,,,16,Panji
14-09-2015,43,,4,8,,,,,,16,Panji
21-09-2015,42,,7,0,,,,,,16,Panji
23-09-2015,41,,2,0,,,,,,16,Panji
30-09-2015,83,,3,18,,,,,,16,Panji
07-10-2015,31,,9,13,,,,,,16,Panji
09-10-2015,40,,4,9,,,,,,16,Panji
14-10-2015,82,,9,12,,,,,,16,Panji
16-10-2015,57,,4,14,,,,,,16,Panji
19-10-2015,100,,7,7,,,,,,16,Panji
21-10-2015,112,,9,14,,,,,,16,Panji
28-10-2015,94,,2,32,,,,,,16,Panji
30-10-2015,91,,6,11,,,,,,16,Panji
04-11-2015,39,,2,18,,,,,,16,Panji
06-11-2015,26,,3,13,,,,,,16,Panji
09-11-2015,99,,3,23,,,,,,16,Panji
11-11-2015,56,,3,25,,,,,,16,Panji
13-11-2015,62,,9,23,,,,,,16,Panji
18-11-2015,87,,2,16,,,,,,16,Panji
20-11-2015,230,,2,20,,,,,,16,Panji
25-11-2015,111,,10,5,,,,,,16,Panji
27-11-2015,107,,11,7,,,,,,16,Panji
02-12-2015,61,,8,11,,,,,,16,Panji
04-12-2015,58,,5,22,,,,,,16,Panji
09-12-2015,56,,9,28,,,,,,16,Panji
11-12-2015,42,,7,15,,,,,,16,Panji
16-12-2015,83,,2,48,,,,,,16,Panji
18-12-2015,84,,4,48,,,,,,16,Panji
23-12-2015,46,,3,51,,,,,,16,Panji
28-12-2015,90,,9,34,,,,,,16,Panji
30-12-2015,87,,4,36,,,,,,16,Panji
05-02-2015,67,,3,15,,,,,,18,Vasco
10-02-2015,128,,2,17,,,,,,18,Vasco
12-02-2015,120,,3,25,,,,,,18,Vasco
17-02-2015,26,,5,10,,,,,,18,Vasco
19-02-2015,26,,3,9,,,,,,18,Vasco
24-02-2015,85,,18,13,,,,,,18,Vasco
26-02-2015,79,,7,12,,,,,,18,Vasco
03-03-2015,96,,14,17,,,,,,18,Vasco
05-03-2015,76,,10,15,,,,,,18,Vasco
10-03-2015,68,,4,17,,,,,,18,Vasco
12-03-2015,59,,7,27,,,,,,18,Vasco
17-03-2015,152,,7,12,,,,,,18,Vasco
20-03-2015,55,,11,15,,,,,,18,Vasco
24-03-2015,72,,4,10,,,,,,18,Vasco
26-03-2015,58,,12,9,,,,,,18,Vasco
31-03-2015,58,,2,6,,,,,,18,Vasco
02-04-2015,65,,5,13,,,,,,18,Vasco
07-04-2015,96,,3,7,,,,,,18,Vasco
09-04-2015,107,,4,7,,,,,,18,Vasco
13-04-2015,149,,3,6,,,,,,18,Vasco
16-04-2015,66,,16,6,,,,,,18,Vasco
21-04-2015,39,,6,7,,,,,,18,Vasco
23-04-2015,41,,6,7,,,,,,18,Vasco
28-04-2015,40,,13,15,,,,,,18,Vasco
30-04-2015,44,,4,5,,,,,,18,Vasco
05-05-2015,67,,9,10,,,,,,18,Vasco
07-05-2015,32,,13,6,,,,,,18,Vasco
12-05-2015,64,,2,16,,,,,,18,Vasco
14-05-2015,41,,5,19,,,,,,18,Vasco
19-05-2015,43,,5,10,,,,,,18,Vasco
21-05-2015,42,,9,5,,,,,,18,Vasco
26-05-2015,29,,5,5,,,,,,18,Vasco
28-05-2015,40,,6,5,,,,,,18,Vasco
02-06-2015,29,,8,6,,,,,,18,Vasco
04-06-2015,87,,8,5,,,,,,18,Vasco
09-06-2015,7,,2,5,,,,,,18,Vasco
11-06-2015,9,,3,5,,,,,,18,Vasco
16-06-2015,24,,5,15,,,,,,18,Vasco
18-06-2015,0,,0,0,,,,,,18,Vasco
23-06-2015,64,,3,9,,,,,,18,Vasco
25-06-2015,62,,9,5,,,,,,18,Vasco
30-06-2015,24,,2,5,,,,,,18,Vasco
02-07-2015,13,,3,8,,,,,,18,Vasco
07-07-2015,22,,4,5,,,,,,18,Vasco
09-07-2015,13,,4,5,,,,,,18,Vasco
14-07-2015,57,,11,5,,,,,,18,Vasco
16-07-2015,77,,4,7,,,,,,18,Vasco
21-07-2015,38,,6,6,,,,,,18,Vasco
23-07-2015,20,,6,5,,,,,,18,Vasco
28-07-2015,28,,3,5,,,,,,18,Vasco
30-07-2015,26,,2,5,,,,,,18,Vasco
04-08-2015,20,,6,5,,,,,,18,Vasco
06-08-2015,28,,3,6,,,,,,18,Vasco
13-08-2015,15,,2,6,,,,,,18,Vasco
18-08-2015,118,,2,5,,,,,,18,Vasco
20-08-2015,39,,6,5,,,,,,18,Vasco
25-08-2015,61,,2,5,,,,,,18,Vasco
27-08-2015,21,,2,5,,,,,,18,Vasco
01-09-2015,22,,2,5,,,,,,18,Vasco
03-09-2015,23,,5,5,,,,,,18,Vasco
08-09-2015,29,,4,5,,,,,,18,Vasco
10-09-2015,61,,7,7,,,,,,18,Vasco
15-09-2015,391,,9,5,,,,,,18,Vasco
22-09-2015,160,,2,49,,,,,,18,Vasco
24-09-2015,60,,6,0,,,,,,18,Vasco
29-09-2015,131,,8,0,,,,,,18,Vasco
01-10-2015,138,,3,5,,,,,,18,Vasco
06-10-2015,215,,7,25,,,,,,18,Vasco
08-10-2015,162,,6,14,,,,,,18,Vasco
13-10-2015,83,,7,5,,,,,,18,Vasco
15-10-2015,35,,6,5,,,,,,18,Vasco
20-10-2015,109,,29,5,,,,,,18,Vasco
23-10-2015,52,,14,5,,,,,,18,Vasco
27-10-2015,77,,2,10,,,,,,18,Vasco
29-10-2015,64,,5,5,,,,,,18,Vasco
03-11-2015,128,,4,9,,,,,,18,Vasco
05-11-2015,126,,4,12,,,,,,18,Vasco
11-11-2015,197,,3,8,,,,,,18,Vasco
17-11-2015,144,,6,9,,,,,,18,Vasco
19-11-2015,121,,5,10,,,,,,18,Vasco
24-11-2015,179,,8,9,,,,,,18,Vasco
26-11-2015,133,,4,6,,,,,,18,Vasco
01-12-2015,128,,4,12,,,,,,18,Vasco
08-12-2015,211,,16,14,,,,,,18,Vasco
10-12-2015,55,,10,9,,,,,,18,Vasco
15-12-2015,63,,4,8,,,,,,18,Vasco
17-12-2015,201,,7,10,,,,,,18,Vasco
22-12-2015,276,,6,14,,,,,,18,Vasco
24-12-2015,298,,0,0,,,,,,18,Vasco
29-12-2015,154,,7,8,,,,,,18,Vasco
31-12-2015,285,,3,12,,,,,,18,Vasco
02-01-2015,70,,4,9,,,,,,8,Curchorem
07-01-2015,77,,4,9,,,,,,8,Curchorem
09-01-2015,88,,4,10,,,,,,8,Curchorem
13-01-2015,43,,4,9,,,,,,8,Curchorem
15-01-2015,32,,4,11,,,,,,8,Curchorem
21-01-2015,33,,4,9,,,,,,8,Curchorem
23-01-2015,32,,4,11,,,,,,8,Curchorem
27-01-2015,81,,4,9,,,,,,8,Curchorem
29-01-2015,74,,4,9,,,,,,8,Curchorem
03-02-2015,75,,4,9,,,,,,8,Curchorem
05-02-2015,71,,4,9,,,,,,8,Curchorem
10-02-2015,80,,4,9,,,,,,8,Curchorem
12-02-2015,79,,4,9,,,,,,8,Curchorem
17-02-2015,87,,5,10,,,,,,8,Curchorem
19-02-2015,77,,4,9,,,,,,8,Curchorem
24-02-2015,83,,4,9,,,,,,8,Curchorem
26-02-2015,59,,4,9,,,,,,8,Curchorem
04-03-2015,77,,4,9,,,,,,8,Curchorem
07-03-2015,58,,4,9,,,,,,8,Curchorem
10-03-2015,56,,4,9,,,,,,8,Curchorem
12-03-2015,67,,5,10,,,,,,8,Curchorem
17-03-2015,62,,4,9,,,,,,8,Curchorem
19-03-2015,48,,4,9,,,,,,8,Curchorem
26-03-2015,73,,5,10,,,,,,8,Curchorem
28-03-2015,55,,4,9,,,,,,8,Curchorem
01-04-2015,56,,4,9,,,,,,8,Curchorem
03-04-2015,54,,4,9,,,,,,8,Curchorem
07-04-2015,82,,5,9,,,,,,8,Curchorem
09-04-2015,85,,4,8,,,,,,8,Curchorem
