DATE,SO2,NO2 ,PM10,PM2.5,O3,Pb,CO,AQI,AQI REMARKS,FIELD OBSERVATIONS,Station ID,Station Name
05-04-2017,9.2,16.1,62.3,20.6,3,<0.5,<0.01,62,SATISFACTORY, Mine ore transport observed  & Industrial emission  observed,1,Assanora
07-04-2017,10.2,15.3,68.8,22.3,<0.5,<0.5,<0.01,69,SATISFACTORY, Mine ore transport observed  & Industrial emission  observed,1,Assanora
12-04-2017,7.9,17,66.6,21.3,<0.5,<0.5,<0.01,67,SATISFACTORY, Mine ore transport observed  & Industrial emission  observed,1,Assanora
15-04-2017,6.9,17.1,55.6,18,2.5,<0.5,<0.01,57,SATISFACTORY, Mine ore transport observed  & Industrial emission  observed,1,Assanora
19-04-2017,8.6,15.6,46.1,15.3,<0.5,<0.5,<0.01,57,SATISFACTORY, Mine ore transport observed  & Industrial emission  observed,1,Assanora
21-04-2017,10.2,19.2,49.6,16,2.3,<0.5,<0.01,57,SATISFACTORY, Mine ore transport observed  & Industrial emission  observed,1,Assanora
27-04-2017,8.8,18.6,68.4,21.6,<0.5,<0.5,<0.01,68,SATISFACTORY, Mine ore transport observed  & Industrial emission  observed,1,Assanora
29-04-2017,9.6,16.2,55.8,18,2.4,<0.5,<0.01,57,SATISFACTORY, Mine ore transport observed  & Industrial emission  observed,1,Assanora
03-05-2017,8.7,15.5,38.9,13.3,3,<0.5,<0.01,57,SATISFACTORY, Mine ore transport observed  & Industrial emission  observed,1,Assanora
05-05-2017,10.5,11.7,63.7,20.7,<0.5,<0.5,<0.01,64,SATISFACTORY, Mine ore transport observed  & Industrial emission  observed,1,Assanora
10-05-2017,8.1,13.1,35.1,11.9,<0.5,<0.5,<0.01,57,SATISFACTORY, Mine ore transport observed  & Industrial emission  observed,1,Assanora
12-05-2017,6.9,12.2,42.8,14.1,2.5,<0.5,<0.01,57,SATISFACTORY, Mine ore transport observed  & Industrial emission  observed,1,Assanora
17-05-2017,8.5,10.3,49.4,16.4,<0.5,<0.5,<0.01,57,SATISFACTORY,No unusual activity,1,Assanora
19-05-2017,8.5,14.1,39,13.2,2.3,<0.5,<0.01,57,SATISFACTORY,No unusual activity,1,Assanora
24-05-2017,8.9,16.2,85.3,26.9,<0.5,<0.5,<0.01,85,SATISFACTORY,Construction & Industrial emission  observed,1,Assanora
26-05-2017,8.4,13.9,40.3,13.4,2.4,<0.5,<0.01,57,SATISFACTORY,Construction & Industrial emission  observed,1,Assanora
31-05-2017,10.5,16.8,34.2,10.9,<0.5,<0.5,<0.01,57,SATISFACTORY, Industrial emission  observed,1,Assanora
02-06-2017,6.6,10.8,41.8,13.7,2.9, -,<0.01,42,GOOD, industrial emission  observed,1,Assanora
07-06-2017,9.1,12.6,51.3,16.6,<0.5, -,<0.01,51,SATISFACTORY, industrial emission& rainfall observed,1,Assanora
09-06-2017,7.6,11.9,40.5,13.1,<0.5, -,<0.01,41,GOOD, industrial emission& rainfall observed,1,Assanora
14-06-2017,4.4,11.1,40.7,13.8,<0.5, -,<0.01,41,GOOD, industrial emission& rainfall observed,1,Assanora
17-06-2017,6.7,8.8,45.1,14.6,<0.5, -,<0.01,45,GOOD, industrial emission& rainfall observed,1,Assanora
21-06-2017,7.6,10.8,45.2,15.1,2.5, -,<0.01,45,GOOD, industrial emission& rainfall observed,1,Assanora
23-06-2017,6.3,10.2,46.3,14.7,<0.5, -,<0.01,46,GOOD, industrial emission& rainfall observed,1,Assanora
28-06-2017,8.6,12.1,57.3,18.4,2.3, -,<0.01,57,SATISFACTORY, industrial emission& rainfall observed,1,Assanora
