DATE,SO2,NO2,PM10,PM2.5,O3,Pb,CO,AQI,AQI REMARKS,FIELD OBSERVATIONS,STATION ID,STATION NAME
04-04-2018,9.1,14.4,56.7,19.1,1.4,<0.5,<0.01,57,SATISFACTORY, No Mine ore transport observed  & LMV movement,1,Assanora
06-04-2018,8.3,12.4,53.4,17.8,<0.5,<0.5,0.88,53,SATISFACTORY, No Mine ore transport observed  & LMV movement,1,Assanora
11-04-2018,7.9,13.7,82.3,25.7,0.9,<0.5,<0.01,82,SATISFACTORY, No Mine ore transport observed  & LMV movement,1,Assanora
13-04-2018,6.9,13.3,64,21.3,<0.5,<0.5,0.87,64,SATISFACTORY, No Mine ore transport observed  & LMV movement,1,Assanora
18-04-2018,7.6,15,75.3,24.2,1,<0.5,<0.01,75,SATISFACTORY, No Mine ore transport observed  & LMV movement,1,Assanora
20-04-2018,6.6,14.1,71.4,22.3,0.9,<0.5,0.98,71,SATISFACTORY, No Mine ore transport observed  & LMV movement,1,Assanora
25-04-2018,7.7,11.2,51.1,16.3,<0.5,<0.5,<0.01,51,SATISFACTORY, No Mine ore transport observed  & LMV movement,1,Assanora
27-04-2018,8.2,12.5,59.3,19.4,1.1,<0.5,0.74,59,SATISFACTORY, No Mine ore transport observed  & LMV movement,1,Assanora
03-05-2018,8.2,15,62.2,21.1,<0.5,<0.5,<0.01,62,SATISFACTORY, No Mine ore transport observed  & LMV movement,1,Assanora
05-05-2018,8.4,14.3,42.5,14,1.1,<0.5,0.88,44,GOOD, No Mine ore transport observed  & LMV movement,1,Assanora
09-05-2018,7.9,12.9,48.5,15.6,<0.5,<0.5,<0.01,48,GOOD, No Mine ore transport observed  & LMV movement,1,Assanora
11-05-2018,9.2,13.4,31.8,10.7,1.1,<0.5,0.65,33,GOOD, No Mine ore transport observed  & LMV movement,1,Assanora
16-05-2018,9.1,11,47.3,15.2,<0.5,<0.5,<0.01,47,GOOD, No Mine ore transport observed  & LMV movement,1,Assanora
18-05-2018,8.8,14.9,45.2,14.5,0.9,<0.5,0.78,45,GOOD, No Mine ore transport observed  & LMV movement,1,Assanora
23-05-2018,9.4,15.5,65.9,20.9,<0.5,<0.5,<0.01,66,SATISFACTORY, No Mine ore transport observed  & LMV movement,1,Assanora
25-05-2018,10.9,14,55,16.6,1,<0.5,0.98,52,SATISFACTORY, No Mine ore transport observed  & LMV movement,1,Assanora
30-05-2018,7.8,15,51.7,15.4,<0.5,<0.5,0.68,52,SATISFACTORY, No Mine ore transport observed  & LMV movement,1,Assanora
06-06-2018,6.7,11,38.5,12.9,0.5,<0.5,0.5,39,GOOD,,1,Assanora
08-06-2018,6.5,11.8,41.9,14.1,0.5,<0.5,0.01,42,GOOD,,1,Assanora
13-06-2018,5.9,10.1,35.4,11.5,1.1,<0.5,0.4,35,GOOD,,1,Assanora
15-06-2018,5.7,10.7,32.7,11.4,0.9,<0.5,0.41,33,GOOD,,1,Assanora
20-06-2018,7.3,10.3,31.9,10.2,1.7,<0.5,0,32,GOOD,,1,Assanora
22-06-2018,5.8,11.9,40.9,13,1.2,<0.5,0.38,41,GOOD,,1,Assanora
27-06-2018,5.7,9.5,28.2,9.1,0.5,<0.5,0,28,GOOD,,1,Assanora
29-06-2018,4.3,8.7,34.1,10.9,0.7,<0.5,0.37,34,GOOD,,1,Assanora
04-07-2018,6.6,12.1,32.3,10.8,0.8,<0.5,0.4,32,GOOD,,1,Assanora
06-07-2018,7.1,11.4,25,8.1,0.3,<0.5,0.01,25,GOOD,,1,Assanora
11-07-2018,6.7,10.3,22.2,7,,<0.5,0,22,GOOD,,1,Assanora
13-07-2018,6.2,11.1,26.1,9,0.5,<0.5,0.45,26,GOOD,,1,Assanora
18-07-2018,6,11.1,25,8.2,0.2,<0.5,0,25,GOOD,,1,Assanora
20-07-2018,6.1,11.5,32,10,0.9,<0.5,0.58,32,GOOD,,1,Assanora
25-07-2018,7.3,10.6,31.6,10.2,0.7,<0.5,0.5,32,GOOD,,1,Assanora
27-07-2018,6.8,11.3,30.7,9.8,0.8,<0.5,0.4,31,GOOD,,1,Assanora
03-08-2018,6.7,9.3,37.5,12.5,0.9,<0.5,<0.01,38,GOOD,Construction activity observed ;LMV movement observed,1,Assanora
08-08-2018,7.5,10.3,39.2,13,0.8,<0.5,0.48,39,GOOD,Construction activity observed ;LMV movement observed,1,Assanora
10-08-2018,8.5,11.2,38.6,12.4,1,<0.5,<0.01,39,GOOD,Construction activity observed ;LMV movement observed,1,Assanora
14-08-2018,7.6,10.2,35,12,0.2,<0.5,0.4,35,GOOD,Construction activity observed ;LMV movement observed,1,Assanora
17-08-2018,7.3,11.4,31.6,9.8,0.4,<0.5,<0.01,32,GOOD,Construction activity observed ;LMV movement observed,1,Assanora
22-08-2018,8.7,12.3,37.5,12.3,1,<0.5,0.55,38,GOOD,Construction activity observed ;LMV movement observed,1,Assanora
24-08-2018,7.2,11.5,36.5,11.6,0.9,<0.5,<0.01,37,GOOD,Construction activity observed ;LMV movement observed,1,Assanora
29-08-2018,7,9.9,34.8,11.1,0.4,<0.5,0.5,35,GOOD,Construction activity observed ;LMV movement observed,1,Assanora
31-08-2018,8.2,10.4,37.4,12.1,0.8,<0.5,0.66,37,GOOD,Construction activity observed ;LMV movement observed,1,Assanora
22-10-2018,10.66,13.22,72.79,35.79,18.75,,0.11,101,MODERA TE,,1,Assanora
26-10-2018,13.33,16.17,77.1,35.17,20.54,,0.1,99,SATISFACTORY,,1,Assanora
29-10-2018,12.89,15.63,86.26,33.13,20.13,,0.1,95,SATISFACTORY,,1,Assanora
04-12-2018,12.23,14.89,62.46,37.74,16.9,,0.09,63,SATISFACTORY,,1,Assanora
07-12-2018,12.22,16.51,63.77,31.16,17.89,,0.1,64,SATISFACTORY,,1,Assanora
11-12-2018,10.97,15.16,50.38,33.82,15.91,,0.08,56,SATISFACTORY,,1,Assanora
14-12-2018,11.33,14.87,65.42,36.95,17.89,,0.1,65,SATISFACTORY,,1,Assanora
18-12-2018,11.04,14.73,68.18,38.41,16.9,,0.09,68,SATISFACTORY,,1,Assanora
21-12-2018,11.37,16.94,49.67,25.08,15.41,,0.09,50,GOOD,,1,Assanora
25-12-2018,12.01,16.76,63.17,25.53,15.41,,0.08,53,SATISFACTORY,,1,Assanora
28-12-2018,12.47,16.92,59.87,32.95,13.92,,0.08,60,SATISFACTORY,,1,Assanora
01-01-2019,11.49,15.37,72.06,39.03,14.41,,0.1,72,SATISFACT ORY,,1,Assanora
04-01-2019,11.09,15.03,78.04,20.25,15.41,,0.08,78,SATISFACT ORY,,1,Assanora
08-01-2019,11.09,15.87,109.61,21.87,15.41,,0.08,106,MODERATE,,1,Assanora
11-01-2019,10.97,15.01,100.97,43.7,13.92,,0.1,101,MODERATE,,1,Assanora
15-01-2019,10.85,15.54,76.38,35.37,16.9,,0.08,76,SATISFACT ORY,,1,Assanora
18-01-2019,11.07,15.99,84.45,45.82,15.41,,0.09,84,SATISFACT ORY,,1,Assanora
22-01-2019,12.48,14.63,62.88,34.78,13.92,,0.08,63,SATISFACT ORY,,1,Assanora
25-01-2019,11.49,16.01,64.8,46.82,14.91,,0.09,78,SATISFACT ORY,,1,Assanora
29-01-2019,11.53,14.02,68.37,23.7,15.41,,0.89,68,SATISFACT ORY,,1,Assanora
01-02-2019,10.94,15.21,113.38,44.74,12.43,,0.08,109,MODERATE,,1,Assanora
05-02-2019,10.75,14.12,76.98,35.16,14.41,,0.08,77,SATISFACT ORY,,1,Assanora
08-02-2019,10.8,15.16,68.98,33.41,15.95,,0.09,69,SATISFACT ORY,,1,Assanora
12-02-2019,11,14.99,116.1,56.32,17.99,,0.08,111,MODERATE,,1,Assanora
15-02-2019,11.18,15.34,77.64,32.2,14.12,,0.08,78,SATISFACT ORY,,1,Assanora
19-02-2019,10.58,14.93,95.46,40.12,15.76,,0.09,95,SATISFACT ORY,,1,Assanora
22-02-2019,10.85,15.15,96.63,40.71,16.45,,0.07,97,SATISFACT ORY,,1,Assanora
26-02-2019,10.78,14.93,89.31,37.91,14.07,,0.08,89,SATISFACT ORY,,1,Assanora
01-03-2019,10.66,14.99,72.21,43.95,10.93,,0.07,73,SATISFACTORY,,1,Assanora
05-03-2019,11.52,15.63,91.33,53.53,16.9,,0.08,81,SATISFACTORY,,1,Assanora
08-03-2019,10,15.25,128.63,61.36,12.43,,0.08,119,MODERATE,,1,Assanora
12-03-2019,10.92,13.83,68.97,46.03,11.93,,0.08,77,SATISFACTORY,,1,Assanora
15-03-2019,10.6,15.1,83.13,52.4,15.41,,0.08,87,SATISFACTORY,,1,Assanora
18-03-2019,10.66,15.34,84.06,57.44,12.92,,0.07,96,SATISFACTORY,,1,Assanora
21-03-2019,10.27,15.15,75.43,40.37,14.41,,0.07,75,SATISFACTORY,,1,Assanora
25-03-2019,10.55,13.82,71.29,47.86,11.43,,0.07,80,SATISFACTORY,,1,Assanora
28-03-2019,10.28,14.87,80.23,47.28,13.92,,0.07,80,SATISFACTORY,,1,Assanora
04-04-2018,6.6,12,76.2,25.4,0.8,<0.5,0.88,76,SATISFACTORY, Industrial emission  observed,2,Amona
