DATE,PM10,PM2.5,SO2,NO2,*CO,O3,Pb,AQI,AIR QLTY,STATION ID,STATION NAME
01-04-2019,84,46,10,15,0.06,12,BDL,84,S,1,Assanora
04-04-2019,62,42,10,15,0.07,11,BDL,71,S,1,Assanora
08-04-2019,60,46,10,15,0.06,11,BDL,76,S,1,Assanora
11-04-2019,51,40,11,15,0.05,12,BDL,66,S,1,Assanora
15-04-2019,54,38,11,15,0.06,14,BDL,64,S,1,Assanora
18-04-2019,81,43,11,14,0.06,14,BDL,81,S,1,Assanora
22-04-2019,70,39,11,16,0.07,20,BDL,70,S,1,Assanora
25-04-2019,62,41,11,16,0.06,26,BDL,69,S,1,Assanora
29-04-2019,52,31,11,15,0.06,22,BDL,52,S,1,Assanora
02-05-2019,79,35,11,15,0.06,13,BDL,79,S,1,Assanora
07-05-2019,59,28,11,15,0.06,13,BDL,59,S,1,Assanora
09-05-2019,66,31,11,14,0.06,12,BDL,66,S,1,Assanora
13-05-2019,51,26,11,14,0.06,14,BDL,51,S,1,Assanora
16-05-2019,64,30,11,15,0.07,13,BDL,64,S,1,Assanora
20-05-2019,42,23,12,15,0.07,13,BDL,42,G,1,Assanora
23-05-2019,45,24,12,15,0.06,13,BDL,45,G,1,Assanora
27-05-2019,51,26,12,15,0.07,13,BDL,51,S,1,Assanora
30-05-2019,59,28,11,14,0.07,15,BDL,59,S,1,Assanora
04-06-2019,52,27,11,14,0.07,13,BDL,52,S,1,Assanora
06-06-2019,38,44,11,14,0.07,14,BDL,74,S,1,Assanora
10-06-2019,22,17,11,14,0.08,14,BDL,28,G,1,Assanora
13-06-2019,55,20,10,14,0.07,13,BDL,55,S,1,Assanora
17-06-2019,51,26,10,14,0.06,13,BDL,51,S,1,Assanora
20-06-2019,46,22,10,14,0.07,13,BDL,46,G,1,Assanora
24-06-2019,32,13,10,13,0.07,12,BDL,32,G,1,Assanora
27-06-2019,34,17,10,13,0.06,12,BDL,34,G,1,Assanora
01-07-2019,37,18,10,14,0.06,12,BDL,37,G,1,Assanora
04-07-2019,29,14,9,14,0.06,13,BDL,29,G,1,Assanora
08-07-2019,33,17,10,13,0.06,12,BDL,33,G,1,Assanora
11-07-2019,34,18,10,14,0.06,13,BDL,34,G,1,Assanora
15-07-2019,32,16,10,14,0.06,13,BDL,32,G,1,Assanora
18-07-2019,44,24,11,14,0.07,13,BDL,44,G,1,Assanora
22-07-2019,35,18,10,13,0.05,13,BDL,35,G,1,Assanora
25-07-2019,34,18,10,13,0.06,12,BDL,34,G,1,Assanora
29-07-2019,37,19,10,13,0.07,13,BDL,37,G,1,Assanora
01-08-2019,38,20,11,13,0.07,13,BDL,38,G,1,Assanora
05-08-2019,31,16,10,13,0.07,13,BDL,31,G,1,Assanora
08-08-2019,36,18,10,14,0.06,13,BDL,36,G,1,Assanora
12-08-2019,36,18,10,13,0.07,13,BDL,36,G,1,Assanora
16-08-2019,34,18,10,13,0.07,13,BDL,34,G,1,Assanora
19-08-2019,38,20,10,14,0.07,13,BDL,38,G,1,Assanora
22-08-2019,38,20,11,14,0.07,13,BDL,38,G,1,Assanora
26-08-2019,42,21,11,14,0.06,13,BDL,42,G,1,Assanora
