DATE,PM10,PM2.5,SO2,NO2,*CO,O3,Pb,AQI,Air QLTY,Station ID,Station Name
20-04-2020,34,27,11,14,0.06,13,BDL,44,Good,1,Assanora
23-04-2020,41,25,10,14,0.06,13,BDL,42,Good,1,Assanora
27-04-2020,46,29,9,12,0.06,14,BDL,49,Good,1,Assanora
30-04-2020,33,20,11,13,0.06,13,BDL,34,Good,1,Assanora
04-05-2020,48,30,9,13,0.05,15,BDL,49,Good,1,Assanora
07-05-2020,51,28,10,14,0.07,15,BDL,51,Satisfactory,1,Assanora
11-05-2020,53,28,10,13,0.05,15,BDL,53,Satisfactory,1,Assanora
14-05-2020,60,31,9,13,0.05,15,BDL,60,Satisfactory,1,Assanora
18-05-2020,63,33,9,13,0.05,14,BDL,63,Satisfactory,1,Assanora
21-05-2020,58,31,10,13,0.07,16,BDL,58,Satisfactory,1,Assanora
25-05-2020,61,33,10,13,0.06,14,BDL,61,Satisfactory,1,Assanora
28-05-2020,62,32,10,14,0.06,15,BDL,62,Satisfactory,1,Assanora
01-06-2020,50,27,9,13,0.05,15,BDL,50,Satisfactory,1,Assanora
04-06-2020,62,32,9,13,0.06,14,BDL,62,Satisfactory,1,Assanora
08-06-2020,48,28,9,13,0.05,14,BDL,48,Good,1,Assanora
11-06-2020,48,26,8,12,0.05,14,BDL,48,Good,1,Assanora
15-06-2020,51,26,8,12,0.05,14,BDL,51,Satisfactory,1,Assanora
18-06-2020,50,26,8,12,0.06,14,BDL,50,Good,1,Assanora
22-06-2020,45,27,9,13,0.05,15,BDL,45,Good,1,Assanora
25-06-2020,43,23,7,11,0.05,14,BDL,43,Good,1,Assanora
29-06-2020,49,25,7,12,0.06,14,BDL,49,Good,1,Assanora
02-07-2020,49,26,8,13,0.06,13,BDL,49,Good,1,Assanora
06-07-2020,46,24,7,12,0.06,14,BDL,46,Good,1,Assanora
09-07-2020,40,23,7,12,0.05,13,BDL,40,Good,1,Assanora
13-07-2020,38,21,6,11,0.05,13,BDL,38,Good,1,Assanora
16-07-2020,43,24,6,11,0.05,13,BDL,43,Good,1,Assanora
20-07-2020,47,25,6,12,0.06,13,BDL,47,Good,1,Assanora
23-07-2020,45,24,7,12,0.05,13,BDL,45,Good,1,Assanora
27-07-2020,45,23,6,12,0.05,14,BDL,45,Good,1,Assanora
30-07-2020,48,23,6,12,0.06,13,BDL,48,Good,1,Assanora
03-08-2020,48,25,7,12,0.05,13,BDL,48,Good,1,Assanora
06-08-2020,46,23,7,12,0.06,14,BDL,46,Good,1,Assanora
10-08-2020,46,23,7,12,0.05,13,BDL,46,Good,1,Assanora
13-08-2020,46,22,6,11,0.05,13,BDL,46,Good,1,Assanora
17-08-2020,44,24,6,11,0.05,13,BDL,44,Good,1,Assanora
20-08-2020,45,23,6,11,0.05,13,BDL,45,Good,1,Assanora
24-08-2020,45,23,7,12,0.05,13,BDL,45,Good,1,Assanora
